uf,soma_total_vitimas,ano,mes,vitimas_escala,crime_enum
AC,2.0,2024,1,0.22710987916618877,1
AC,0.0,2024,2,0.0,1
AC,0.0,2024,3,0.0,1
AC,1.0,2024,4,0.11355493958309439,1
AC,0.0,2024,5,0.0,1
AC,2.0,2024,6,0.22710987916618877,1
AC,0.0,2024,7,0.0,1
AC,0.0,2024,8,0.0,1
AC,0.0,2024,9,0.0,1
AC,1.0,2024,10,0.11355493958309439,1
AC,1.0,2024,11,0.11355493958309439,1
AC,1.0,2024,12,0.11355493958309439,1
AC,23.0,2024,1,2.611763610411171,2
AC,15.0,2024,2,1.703324093746416,2
AC,15.0,2024,3,1.703324093746416,2
AC,10.0,2024,4,1.135549395830944,2
AC,9.0,2024,5,1.0219944562478496,2
AC,9.0,2024,6,1.0219944562478496,2
AC,10.0,2024,7,1.135549395830944,2
AC,10.0,2024,8,1.135549395830944,2
AC,13.0,2024,9,1.4762142145802273,2
AC,16.0,2024,10,1.8168790333295102,2
AC,15.0,2024,11,1.703324093746416,2
AC,12.0,2024,12,1.3626592749971327,2
AC,1.0,2024,1,0.11355493958309439,3
AC,0.0,2024,2,0.0,3
AC,0.0,2024,3,0.0,3
AC,0.0,2024,4,0.0,3
AC,0.0,2024,5,0.0,3
AC,0.0,2024,6,0.0,3
AC,0.0,2024,7,0.0,3
AC,0.0,2024,8,0.0,3
AC,1.0,2024,9,0.11355493958309439,3
AC,0.0,2024,10,0.0,3
AC,0.0,2024,11,0.0,3
AC,1.0,2024,12,0.11355493958309439,3
AC,11.0,2024,1,1.2491043354140383,4
AC,8.0,2024,2,0.9084395166647551,4
AC,14.0,2024,3,1.5897691541633217,4
AC,8.0,2024,4,0.9084395166647551,4
AC,9.0,2024,5,1.0219944562478496,4
AC,10.0,2024,6,1.135549395830944,4
AC,11.0,2024,7,1.2491043354140383,4
AC,16.0,2024,8,1.8168790333295102,4
AC,15.0,2024,9,1.703324093746416,4
AC,14.0,2024,10,1.5897691541633217,4
AC,10.0,2024,11,1.135549395830944,4
AC,11.0,2024,12,1.2491043354140383,4
AC,0.0,2024,1,0.0,5
AC,2.0,2024,2,0.22710987916618877,5
AC,6.0,2024,3,0.6813296374985663,5
AC,1.0,2024,4,0.11355493958309439,5
AC,2.0,2024,5,0.22710987916618877,5
AC,0.0,2024,6,0.0,5
AC,0.0,2024,7,0.0,5
AC,2.0,2024,8,0.22710987916618877,5
AC,1.0,2024,9,0.11355493958309439,5
AC,5.0,2024,10,0.567774697915472,5
AC,0.0,2024,11,0.0,5
AC,1.0,2024,12,0.11355493958309439,5
AC,0.0,2024,1,0.0,6
AC,1.0,2024,2,0.11355493958309439,6
AC,0.0,2024,3,0.0,6
AC,0.0,2024,4,0.0,6
AC,0.0,2024,5,0.0,6
AC,0.0,2024,6,0.0,6
AC,0.0,2024,7,0.0,6
AC,0.0,2024,8,0.0,6
AC,0.0,2024,9,0.0,6
AC,0.0,2024,10,0.0,6
AC,0.0,2024,11,0.0,6
AC,0.0,2024,12,0.0,6
AC,8.0,2024,1,0.9084395166647551,7
AC,4.0,2024,2,0.45421975833237754,7
AC,5.0,2024,3,0.567774697915472,7
AC,4.0,2024,4,0.45421975833237754,7
AC,8.0,2024,5,0.9084395166647551,7
AC,5.0,2024,6,0.567774697915472,7
AC,11.0,2024,7,1.2491043354140383,7
AC,12.0,2024,8,1.3626592749971327,7
AC,10.0,2024,9,1.135549395830944,7
AC,14.0,2024,10,1.5897691541633217,7
AC,6.0,2024,11,0.6813296374985663,7
AC,6.0,2024,12,0.6813296374985663,7
AC,3.0,2024,1,0.34066481874928317,8
AC,3.0,2024,2,0.34066481874928317,8
AC,8.0,2024,3,0.9084395166647551,8
AC,5.0,2024,4,0.567774697915472,8
AC,0.0,2024,5,0.0,8
AC,2.0,2024,6,0.22710987916618877,8
AC,4.0,2024,7,0.45421975833237754,8
AC,8.0,2024,8,0.9084395166647551,8
AC,4.0,2024,9,0.45421975833237754,8
AC,6.0,2024,10,0.6813296374985663,8
AC,5.0,2024,11,0.567774697915472,8
AC,4.0,2024,12,0.45421975833237754,8
AC,26.0,2024,1,2.9524284291604546,9
AC,20.0,2024,2,2.271098791661888,9
AC,13.0,2024,3,1.4762142145802273,9
AC,14.0,2024,4,1.5897691541633217,9
AC,20.0,2024,5,2.271098791661888,9
AC,20.0,2024,6,2.271098791661888,9
AC,14.0,2024,7,1.5897691541633217,9
AC,22.0,2024,8,2.4982086708280766,9
AC,24.0,2024,9,2.7253185499942654,9
AC,25.0,2024,10,2.83887348957736,9
AC,40.0,2024,11,4.542197583323776,9
AC,25.0,2024,12,2.83887348957736,9
AL,0.0,2024,1,0.0,1
AL,2.0,2024,2,0.062109795211583226,1
AL,2.0,2024,3,0.062109795211583226,1
AL,3.0,2024,4,0.09316469281737484,1
AL,1.0,2024,5,0.031054897605791613,1
AL,1.0,2024,6,0.031054897605791613,1
AL,2.0,2024,7,0.062109795211583226,1
AL,1.0,2024,8,0.031054897605791613,1
AL,3.0,2024,9,0.09316469281737484,1
AL,2.0,2024,10,0.062109795211583226,1
AL,1.0,2024,11,0.031054897605791613,1
AL,3.0,2024,12,0.09316469281737484,1
AL,102.0,2024,1,3.1675995557907446,2
AL,79.0,2024,2,2.4533369108575376,2
AL,101.0,2024,3,3.1365446581849534,2
AL,92.0,2024,4,2.8570505797328285,2
AL,94.0,2024,5,2.9191603749444117,2
AL,77.0,2024,6,2.3912271156459544,2
AL,55.0,2024,7,1.7080193683185387,2
AL,77.0,2024,8,2.3912271156459544,2
AL,92.0,2024,9,2.8570505797328285,2
AL,76.0,2024,10,2.3601722180401628,2
AL,91.0,2024,11,2.825995682127037,2
AL,93.0,2024,12,2.88810547733862,2
AL,1.0,2024,1,0.031054897605791613,3
AL,0.0,2024,2,0.0,3
AL,3.0,2024,3,0.09316469281737484,3
AL,0.0,2024,4,0.0,3
AL,1.0,2024,5,0.031054897605791613,3
AL,0.0,2024,6,0.0,3
AL,1.0,2024,7,0.031054897605791613,3
AL,0.0,2024,8,0.0,3
AL,0.0,2024,9,0.0,3
AL,0.0,2024,10,0.0,3
AL,0.0,2024,11,0.0,3
AL,0.0,2024,12,0.0,3
AL,35.0,2024,1,1.0869214162027065,4
AL,41.0,2024,2,1.2732508018374562,4
AL,46.0,2024,3,1.4285252898664142,4
AL,40.0,2024,4,1.2421959042316646,4
AL,40.0,2024,5,1.2421959042316646,4
AL,33.0,2024,6,1.024811620991123,4
AL,32.0,2024,7,0.9937567233853316,4
AL,29.0,2024,8,0.9005920305679569,4
AL,39.0,2024,9,1.211141006625873,4
AL,40.0,2024,10,1.2421959042316646,4
AL,39.0,2024,11,1.211141006625873,4
AL,43.0,2024,12,1.3353605970490394,4
AL,7.0,2024,1,0.2173842832405413,5
AL,6.0,2024,2,0.18632938563474968,5
AL,10.0,2024,3,0.31054897605791615,5
AL,7.0,2024,4,0.2173842832405413,5
AL,5.0,2024,5,0.15527448802895807,5
AL,8.0,2024,6,0.2484391808463329,5
AL,8.0,2024,7,0.2484391808463329,5
AL,11.0,2024,8,0.34160387366370776,5
AL,13.0,2024,9,0.403713668875291,5
AL,4.0,2024,10,0.12421959042316645,5
AL,10.0,2024,11,0.31054897605791615,5
AL,8.0,2024,12,0.2484391808463329,5
AL,1.0,2024,1,0.031054897605791613,6
AL,0.0,2024,2,0.0,6
AL,0.0,2024,3,0.0,6
AL,0.0,2024,4,0.0,6
AL,0.0,2024,5,0.0,6
AL,1.0,2024,6,0.031054897605791613,6
AL,0.0,2024,7,0.0,6
AL,0.0,2024,8,0.0,6
AL,0.0,2024,9,0.0,6
AL,0.0,2024,10,0.0,6
AL,1.0,2024,11,0.031054897605791613,6
AL,1.0,2024,12,0.031054897605791613,6
AL,10.0,2024,1,0.31054897605791615,7
AL,18.0,2024,2,0.5589881569042491,7
AL,18.0,2024,3,0.5589881569042491,7
AL,23.0,2024,4,0.7142626449332071,7
AL,16.0,2024,5,0.4968783616926658,7
AL,9.0,2024,6,0.27949407845212454,7
AL,14.0,2024,7,0.4347685664810826,7
AL,11.0,2024,8,0.34160387366370776,7
AL,18.0,2024,9,0.5589881569042491,7
AL,18.0,2024,10,0.5589881569042491,7
AL,13.0,2024,11,0.403713668875291,7
AL,11.0,2024,12,0.34160387366370776,7
AL,11.0,2024,1,0.34160387366370776,8
AL,4.0,2024,2,0.12421959042316645,8
AL,8.0,2024,3,0.2484391808463329,8
AL,7.0,2024,4,0.2173842832405413,8
AL,7.0,2024,5,0.2173842832405413,8
AL,1.0,2024,6,0.031054897605791613,8
AL,3.0,2024,7,0.09316469281737484,8
AL,7.0,2024,8,0.2173842832405413,8
AL,7.0,2024,9,0.2173842832405413,8
AL,2.0,2024,10,0.062109795211583226,8
AL,6.0,2024,11,0.18632938563474968,8
AL,5.0,2024,12,0.15527448802895807,8
AL,62.0,2024,1,1.9254036515590802,9
AL,48.0,2024,2,1.4906350850779975,9
AL,80.0,2024,3,2.484391808463329,9
AL,87.0,2024,4,2.7017760917038705,9
AL,64.0,2024,5,1.9875134467706632,9
AL,59.0,2024,6,1.8322389587417054,9
AL,61.0,2024,7,1.8943487539532886,9
AL,51.0,2024,8,1.5837997778953723,9
AL,71.0,2024,9,2.2048977300112047,9
AL,67.0,2024,10,2.0806781395880383,9
AL,52.0,2024,11,1.614854675501164,9
AL,57.0,2024,12,1.7701291635301222,9
AM,2.0,2024,1,0.046715775847430016,1
AM,2.0,2024,2,0.046715775847430016,1
AM,3.0,2024,3,0.07007366377114502,1
AM,2.0,2024,4,0.046715775847430016,1
AM,3.0,2024,5,0.07007366377114502,1
AM,2.0,2024,6,0.046715775847430016,1
AM,3.0,2024,7,0.07007366377114502,1
AM,2.0,2024,8,0.046715775847430016,1
AM,2.0,2024,9,0.046715775847430016,1
AM,1.0,2024,10,0.023357887923715008,1
AM,7.0,2024,11,0.16350521546600505,1
AM,0.0,2024,12,0.0,1
AM,88.0,2024,1,2.055494137286921,2
AM,78.0,2024,2,1.8219152580497706,2
AM,91.0,2024,3,2.1255678010580654,2
AM,74.0,2024,4,1.7284837063549106,2
AM,87.0,2024,5,2.0321362493632056,2
AM,87.0,2024,6,2.0321362493632056,2
AM,94.0,2024,7,2.1956414648292104,2
AM,95.0,2024,8,2.2189993527529257,2
AM,107.0,2024,9,2.4992940078375057,2
AM,92.0,2024,10,2.1489256889817807,2
AM,80.0,2024,11,1.8686310338972005,2
AM,82.0,2024,12,1.9153468097446307,2
AM,4.0,2024,1,0.09343155169486003,3
AM,7.0,2024,2,0.16350521546600505,3
AM,6.0,2024,3,0.14014732754229003,3
AM,2.0,2024,4,0.046715775847430016,3
AM,0.0,2024,5,0.0,3
AM,3.0,2024,6,0.07007366377114502,3
AM,0.0,2024,7,0.0,3
AM,0.0,2024,8,0.0,3
AM,1.0,2024,9,0.023357887923715008,3
AM,0.0,2024,10,0.0,3
AM,0.0,2024,11,0.0,3
AM,1.0,2024,12,0.023357887923715008,3
AM,21.0,2024,1,0.4905156463980151,4
AM,15.0,2024,2,0.3503683188557251,4
AM,25.0,2024,3,0.5839471980928751,4
AM,24.0,2024,4,0.5605893101691601,4
AM,21.0,2024,5,0.4905156463980151,4
AM,17.0,2024,6,0.3970840947031551,4
AM,15.0,2024,7,0.3503683188557251,4
AM,27.0,2024,8,0.6306629739403051,4
AM,21.0,2024,9,0.4905156463980151,4
AM,28.0,2024,10,0.6540208618640202,4
AM,23.0,2024,11,0.5372314222454452,4
AM,24.0,2024,12,0.5605893101691601,4
AM,1.0,2024,1,0.023357887923715008,5
AM,2.0,2024,2,0.046715775847430016,5
AM,1.0,2024,3,0.023357887923715008,5
AM,3.0,2024,4,0.07007366377114502,5
AM,2.0,2024,5,0.046715775847430016,5
AM,4.0,2024,6,0.09343155169486003,5
AM,2.0,2024,7,0.046715775847430016,5
AM,1.0,2024,8,0.023357887923715008,5
